id;xorig;yorig;xdest;ydest;facper
159;307910;5037169;295864;5040936;38.174
160;307728;5037127;295999;5040987;28.259
161;305041;5042026;299320;5040304;33.284
162;303440;5043685;300315;5040933;28.761
163;309459;5042202;295387;5039956;29.278
164;309383;5042067;298378;5041030;35.416
165;309586;5042025;298959;5039549;33.538
166;302923;5042740;299594;5051138;38.190
167;309099;5037282;296574;5049023;32.863
168;305703;5039999;298682;5042052;37.520
169;306807;5044434;300250;5041085;26.872
170;305763;5042401;290645;5044530;24.907
171;306972;5036557;299754;5039907;28.187
172;307115;5038688;298242;5038947;21.552
173;306075;5041982;297544;5043142;47.727
174;307479;5041564;297668;5034799;17.317
175;307457;5041738;297690;5034907;20.939
176;302877;5042949;298464;5041062;18.354
177;303398;5042434;298217;5046018;41.896
178;303824;5041502;295289;5040041;23.128
179;306496;5037633;299356;5044505;24.295
180;306426;5037383;299527;5044533;16.267
181;305637;5038551;300137;5041635;21.883
182;305568;5038571;299144;5040280;20.111
183;306503;5033668;299764;5043333;18.804
184;305135;5043947;297156;5042692;29.294
185;312717;5037795;299563;5040019;18.800
186;308300;5042662;294645;5050584;32.554
187;308933;5047970;296484;5045485;34.209
188;307239;5036074;299648;5042911;26.382
189;303457;5041309;300272;5041224;18.973
190;311306;5036610;299472;5039745;29.263
191;308217;5043722;298570;5053982;24.583
192;306581;5044047;301191;5050698;28.512
193;308304;5044620;301378;5050746;26.509
194;304739;5039403;299451;5039966;20.786
195;308835;5047965;301074;5050624;26.974
196;305701;5036736;295484;5039822;35.072
197;312098;5040531;299543;5040201;23.609
198;312062;5040522;298622;5039398;20.944
199;304067;5040351;285150;5035426;23.033
200;305685;5038751;299501;5044453;24.414
201;306846;5035554;278833;5036048;25.242
202;306762;5035544;279052;5036019;21.977
203;304730;5040353;299921;5040201;21.886
204;306988;5039308;299990;5043081;31.302
205;308647;5036847;296511;5043817;25.706
206;303663;5043035;297117;5044029;29.327
207;309747;5036710;298297;5038898;41.732
208;309966;5036680;299854;5040779;34.534
209;303115;5042927;302925;5051135;27.841
210;307876;5046075;299787;5040174;33.018
211;310494;5039464;299106;5040533;24.276
212;309447;5041735;281744;5038070;28.043
213;309758;5037009;295079;5041428;36.883
214;308662;5044594;299286;5045923;17.455
215;308697;5044571;299597;5039901;21.692
216;308850;5044590;289437;5041585;23.529
217;304431;5044515;299742;5045230;23.752
218;308492;5034748;288193;5039994;26.354
219;307936;5033523;299566;5040012;27.564
220;305823;5043764;295659;5042998;31.673
221;305953;5043723;296189;5047008;32.541
222;312372;5035632;298815;5043326;31.349
223;305426;5042381;305874;5061859;31.090
224;306547;5046810;295221;5044864;24.767
225;306296;5035851;300618;5041353;20.772
226;318299;5044681;303395;5049913;35.790
227;303279;5041685;294929;5052846;24.245
228;305783;5040649;295550;5040152;22.178
229;308982;5041253;296986;5043574;29.793
230;304919;5039308;299294;5040303;38.845
231;304712;5039565;299504;5040880;45.085
232;303919;5042441;299325;5039688;31.864
233;308855;5048650;298970;5039402;25.441
234;308657;5048900;298058;5038503;25.361
235;309410;5054162;293629;5044548;34.016
236;309519;5036374;286498;5036892;31.047
237;309670;5036103;298217;5038903;43.548
238;309076;5053008;301422;5045079;35.427
239;309151;5053007;301194;5045082;25.715
240;304537;5041772;290285;5032856;19.902
241;305443;5036943;295344;5040533;31.823
242;305254;5039717;289542;5038602;22.945
243;314845;5041993;300855;5050436;43.182
244;307062;5037584;297790;5038911;29.334
245;306985;5037619;297866;5038928;25.688
246;307239;5037728;299907;5040819;34.686
247;303864;5040127;296541;5034072;22.324
248;312188;5040251;295134;5040357;27.487
249;312173;5040035;295769;5040143;28.554
250;312189;5040207;299207;5040282;20.092
251;309418;5048621;299878;5040804;32.465
252;314208;5036473;299740;5039990;38.803
253;314265;5036228;299772;5039880;32.744
254;310183;5049062;293741;5045581;30.215
255;306673;5040327;299774;5041581;30.203
256;306862;5040070;294506;5039908;28.216
257;305110;5040081;298858;5040044;32.535
258;308129;5052530;295669;5044763;29.690
259;308320;5052710;295912;5044807;30.670
260;305121;5043727;301441;5039881;19.588
261;303217;5042561;297322;5046546;32.482
262;309467;5048549;295601;5039438;25.992
263;309515;5048521;300221;5048101;25.526
264;305766;5037771;300859;5042470;33.334
265;305584;5037779;300735;5042116;20.711
266;309536;5036987;300160;5041598;41.024
267;306252;5035637;298591;5039596;39.317
268;306460;5035503;295185;5035628;35.423
269;307457;5041391;299564;5040204;19.643
270;309313;5043017;294215;5038529;23.676
271;308096;5044356;298765;5045396;26.146
272;311911;5043781;299057;5049050;26.133
273;308279;5043877;294778;5051651;35.127
274;303105;5041897;299963;5041428;30.627
275;307947;5044348;299735;5045721;27.079
276;314536;5040109;300062;5045666;27.446
277;306618;5042274;300986;5046474;22.290
278;310254;5037364;299871;5039045;22.073
279;308485;5042527;299299;5040288;28.818
280;302953;5042729;298228;5043159;59.335
281;305579;5044314;299094;5040594;18.084
282;305754;5044314;299353;5040808;19.547
283;314396;5040507;303172;5056144;32.336
284;306835;5037131;302116;5049958;29.579
285;306928;5036648;298333;5035456;21.658
286;306233;5045538;300508;5043630;28.415
287;306160;5045412;300497;5043697;30.478
288;308254;5036047;295845;5031428;28.269
289;305334;5043913;294846;5037918;36.356
290;314681;5037166;274712;5034990;38.427
291;305369;5033982;298775;5039910;39.730
292;305432;5034150;298191;5038850;33.626
293;305372;5034115;298724;5039872;49.270
294;310321;5040198;300146;5044657;23.735
295;310514;5040214;301647;5049712;23.942
296;303475;5040719;300640;5040827;15.834
297;312770;5037635;299051;5040296;25.932
298;312996;5037852;299979;5040035;24.902
299;307539;5036001;299319;5041323;26.951
300;314170;5040710;299994;5042794;22.527
301;309612;5035894;299158;5040301;21.723
302;306051;5038987;300612;5040818;24.095
303;306331;5038225;297693;5032343;23.007
304;303497;5043116;298668;5047394;27.856
305;316936;5041985;300436;5040924;16.698
306;316794;5041826;300204;5040443;23.803
307;305496;5032470;299261;5040048;41.662
308;303328;5041904;296338;5050745;27.268
309;309572;5052327;303991;5048897;24.130
310;309346;5052336;290808;5041636;23.265
311;310073;5049666;299831;5040760;29.086
312;308416;5041992;297798;5042612;25.830
313;304389;5038001;291292;5041335;25.352
314;304228;5038207;299503;5040808;30.790
315;304445;5037958;292404;5039613;30.385
316;304449;5037975;299476;5040752;32.231
317;310206;5049010;302442;5048991;40.802
318;310238;5049043;305010;5054230;37.540
319;308857;5050431;299669;5041651;31.963
320;309429;5050792;299444;5041362;32.075
321;309362;5050841;299685;5041380;28.072
322;317086;5043050;300412;5042992;28.845
323;311324;5047763;271661;5030556;32.007
324;305638;5047381;299890;5039177;28.463
325;305845;5047451;299765;5040737;24.019
326;308736;5037548;298114;5042491;35.890
327;306941;5033097;299614;5040714;39.884
328;318357;5043018;299883;5041730;38.188
329;318405;5043051;295555;5046872;35.811
330;309227;5036562;299386;5039727;47.549
